Name                                                                                                Stmts   Miss  Cover
-----------------------------------------------------------------------------------------------------------------------
polaris\__init__.py                                                                                     5      2    60%
polaris\_env_compat.py                                                                                 25     12    52%
polaris\application\__init__.py                                                                        17      0   100%
polaris\application\health.py                                                                         100     83    17%
polaris\application\runtime_admin.py                                                                   66     38    42%
polaris\application\session_admin.py                                                                  119     73    39%
polaris\application\storage_admin.py                                                                  123     57    54%
polaris\application\traceability_admin.py                                                              60     45    25%
polaris\bootstrap\__init__.py                                                                           4      0   100%
polaris\bootstrap\assembly.py                                                                         188    145    23%
polaris\bootstrap\backend_bootstrap.py                                                                257    220    14%
polaris\bootstrap\ci_dependency_check.py                                                               89     75    16%
polaris\bootstrap\config.py                                                                           793    483    39%
polaris\bootstrap\config_loader.py                                                                    147    123    16%
polaris\bootstrap\contracts\__init__.py                                                                 0      0   100%
polaris\bootstrap\contracts\backend_launch.py                                                         140     98    30%
polaris\bootstrap\dependency_scanner.py                                                               119     91    24%
polaris\bootstrap\governance\__init__.py                                                                0      0   100%
polaris\bootstrap\governance\architecture_guard_cli.py                                                322    253    21%
polaris\bootstrap\launch_validation.py                                                                 83     64    23%
polaris\bootstrap\ports\__init__.py                                                                     0      0   100%
polaris\bootstrap\ports\backend_bootstrap.py                                                           15      3    80%
polaris\bootstrap\runtime_health.py                                                                     2      0   100%
polaris\bootstrap\uvicorn_server.py                                                                    43     30    30%
polaris\cells\__init__.py                                                                               0      0   100%
polaris\cells\audit\__init__.py                                                                         0      0   100%
polaris\cells\audit\evidence\__init__.py                                                                2      0   100%
polaris\cells\audit\evidence\bundle_service.py                                                        189    157    17%
polaris\cells\audit\evidence\internal\__init__.py                                                       0      0   100%
polaris\cells\audit\evidence\internal\role_session_audit_service.py                                    81     62    23%
polaris\cells\audit\evidence\internal\task_audit_llm_binding.py                                       109     82    25%
polaris\cells\audit\evidence\public\__init__.py                                                         3      0   100%
polaris\cells\audit\evidence\public\contracts.py                                                       27      0   100%
polaris\cells\audit\evidence\public\service.py                                                          6      0   100%
polaris\cells\audit\evidence\task_service.py                                                           30     14    53%
polaris\cells\audit\verdict\__init__.py                                                                 2      0   100%
polaris\cells\audit\verdict\internal\__init__.py                                                        3      0   100%
polaris\cells\audit\verdict\internal\artifact_service.py                                              355    254    28%
polaris\cells\audit\verdict\internal\independent_audit_service.py                                     144     95    34%
polaris\cells\audit\verdict\internal\review_gate.py                                                   150     91    39%
polaris\cells\audit\verdict\public\__init__.py                                                          3      0   100%
polaris\cells\audit\verdict\public\contracts.py                                                        82     35    57%
polaris\cells\audit\verdict\public\service.py                                                          32      0   100%
polaris\cells\director\__init__.py                                                                      0      0   100%
polaris\cells\director\execution\__init__.py                                                            2      0   100%
polaris\cells\director\execution\internal\__init__.py                                                  15      0   100%
polaris\cells\director\execution\internal\code_generation_engine.py                                   116     87    25%
polaris\cells\director\execution\internal\context_gatherer.py                                         101     85    16%
polaris\cells\director\execution\internal\director_agent.py                                           351    290    17%
polaris\cells\director\execution\internal\director_cli.py                                               9      1    89%
